county,vca_first_year,source,verified
Alameda,2022,CA SOS VCA Participating Counties,Yes
Alpine,,CA SOS VCA Participating Counties,Yes
Amador,2020,CA SOS VCA Participating Counties,Yes
Butte,2020,CA SOS VCA Participating Counties,Yes
Calaveras,2020,CA SOS VCA Participating Counties,Yes
Colusa,,CA SOS VCA Participating Counties,Yes
Contra Costa,,CA SOS VCA Participating Counties,Yes
Del Norte,,CA SOS VCA Participating Counties,Yes
El Dorado,2020,CA SOS VCA Participating Counties,Yes
Fresno,2020,CA SOS VCA Participating Counties,Yes
Glenn,,CA SOS VCA Participating Counties,Yes
Humboldt,2022,CA SOS VCA Participating Counties,Yes
Imperial,2022,CA SOS VCA Participating Counties,Yes
Inyo,,CA SOS VCA Participating Counties,Yes
Kern,,CA SOS VCA Participating Counties,Yes
Kings,2022,CA SOS VCA Participating Counties,Yes
Lake,,CA SOS VCA Participating Counties,Yes
Lassen,,CA SOS VCA Participating Counties,Yes
Los Angeles,2020,CA SOS VCA Participating Counties,Yes
Madera,2018,CA SOS VCA Participating Counties,Yes
Marin,2022,CA SOS VCA Participating Counties,Yes
Mariposa,2020,CA SOS VCA Participating Counties,Yes
Mendocino,,CA SOS VCA Participating Counties,Yes
Merced,2022,CA SOS VCA Participating Counties,Yes
Modoc,,CA SOS VCA Participating Counties,Yes
Mono,,CA SOS VCA Participating Counties,Yes
Monterey,,CA SOS VCA Participating Counties,Yes
Napa,2018,CA SOS VCA Participating Counties,Yes
Nevada,2018,CA SOS VCA Participating Counties,Yes
Orange,2020,CA SOS VCA Participating Counties,Yes
Placer,2024,CA SOS VCA Participating Counties,Yes
Plumas,,CA SOS VCA Participating Counties,Yes
Riverside,2022,CA SOS VCA Participating Counties,Yes
Sacramento,2018,CA SOS VCA Participating Counties,Yes
San Benito,2022,CA SOS VCA Participating Counties,Yes
San Bernardino,,CA SOS VCA Participating Counties,Yes
San Diego,2022,CA SOS VCA Participating Counties,Yes
San Francisco,,CA SOS VCA Participating Counties,Yes
San Joaquin,,CA SOS VCA Participating Counties,Yes
San Luis Obispo,,CA SOS VCA Participating Counties,Yes
San Mateo,2018,CA SOS VCA Participating Counties,Yes
Santa Barbara,,CA SOS VCA Participating Counties,Yes
Santa Clara,2020,CA SOS VCA Participating Counties,Yes
Santa Cruz,2022,CA SOS VCA Participating Counties,Yes
Shasta,,CA SOS VCA Participating Counties,Yes
Sierra,,CA SOS VCA Participating Counties,Yes
Siskiyou,,CA SOS VCA Participating Counties,Yes
Solano,,CA SOS VCA Participating Counties,Yes
Sonoma,2022,CA SOS VCA Participating Counties,Yes
Stanislaus,2022,CA SOS VCA Participating Counties,Yes
Sutter,,CA SOS VCA Participating Counties,Yes
Tehama,,CA SOS VCA Participating Counties,Yes
Trinity,,CA SOS VCA Participating Counties,Yes
Tulare,,CA SOS VCA Participating Counties,Yes
Tuolumne,2020,CA SOS VCA Participating Counties,Yes
Ventura,2022,CA SOS VCA Participating Counties,Yes
Yolo,2022,CA SOS VCA Participating Counties,Yes
Yuba,,CA SOS VCA Participating Counties,Yes
