county,vca_first_year,source,verified
Alameda,2022,CA SOS,Yes
Alpine,9999,Not VCA,No
Amador,2020,CA SOS,Yes
Butte,2020,CA SOS,Yes
Calaveras,2020,CA SOS,Yes
Colusa,9999,Not VCA,No
Contra Costa,9999,Not VCA,No
Del Norte,9999,Not VCA,No
El Dorado,2020,CA SOS,Yes
Fresno,2020,CA SOS,Yes
Glenn,9999,Not VCA,No
Humboldt,2022,CA SOS,Yes
Imperial,2022,CA SOS,Yes
Inyo,9999,Not VCA,No
Kern,9999,Not VCA,No
Kings,2022,CA SOS,Yes
Lake,9999,Not VCA,No
Lassen,9999,Not VCA,No
Los Angeles,2020,CA SOS,Yes
Madera,2018,CA SOS,Yes
Marin,2022,CA SOS,Yes
Mariposa,2020,CA SOS,Yes
Mendocino,9999,Not VCA,No
Merced,2022,CA SOS,Yes
Modoc,9999,Not VCA,No
Mono,9999,Not VCA,No
Monterey,9999,Not VCA,No
Napa,2018,CA SOS,Yes
Nevada,2018,CA SOS,Yes
Orange,2020,CA SOS,Yes
Placer,2022,CA SOS,Yes
Plumas,9999,Not VCA,No
Riverside,2022,CA SOS,Yes
Sacramento,2018,CA SOS,Yes
San Benito,2022,CA SOS,Yes
San Bernardino,9999,Not VCA,No
San Diego,2022,CA SOS,Yes
San Francisco,9999,Not VCA,No
San Joaquin,9999,Not VCA,No
San Luis Obispo,9999,Not VCA,No
San Mateo,2018,CA SOS,Yes
Santa Barbara,9999,Not VCA,No
Santa Clara,2020,CA SOS,Yes
Santa Cruz,2022,CA SOS,Yes
Shasta,9999,Not VCA,No
Sierra,9999,Not VCA,No
Siskiyou,9999,Not VCA,No
Solano,9999,Not VCA,No
Sonoma,2022,CA SOS,Yes
Stanislaus,2022,CA SOS,Yes
Sutter,9999,Not VCA,No
Tehama,9999,Not VCA,No
Trinity,9999,Not VCA,No
Tulare,9999,Not VCA,No
Tuolumne,2020,CA SOS,Yes
Ventura,2022,CA SOS,Yes
Yolo,2022,CA SOS,Yes
Yuba,9999,Not VCA,No
